,User,Tweet,Time,url
0,letmecryyy_,mimpi dk jadi guru les bahasa inggris,2022-09-15 20:50:27+00:00,http://twitter.com/download/iphone
1,Idang_Walmiki,"@denjufri @BOLATIME1 @m_t_hidayat @riamiliaputri @detikcom @detik_jatim Emang gua guru Inggris di MA om. 😁percaya gak percaya bukan urusan gua, yg penting murid gua sekrang dah pada ngarti 16 tenses ama public speaking.",2022-09-15 17:16:43+00:00,http://twitter.com/download/android
2,bbykoooo_,"@noirkitkat beneeeee kaaa. kata guru bhs inggris aku dulu di smp juga gitu,kalo mau belajar bahasa inggris dengerin lagu lagu yg berbahasa inggris aja,sama nyatet lirik lagunya😂",2022-09-15 16:50:46+00:00,http://twitter.com/download/android
3,teajusenakkk,cuman guru bahasa inggris doang yg nanyain “how are you today?”,2022-09-15 16:30:10+00:00,http://twitter.com/download/iphone
4,ccahyeol,"Tugas elite, materi sulit
Sapa lagi kalo ga guru bhs inggris w, alias tgsnya banyak bgt cogg😭👎",2022-09-15 15:52:11+00:00,http://twitter.com/download/android
5,jmencintai,"enih guru Inggris ngasih tugas kaya gapernah ngasih tugas nying, minimal manusiawi",2022-09-15 15:16:25+00:00,http://twitter.com/download/android
6,GuruPrivatMaros,Butuh Guru Privat BAHASA INGGRIS ? Silahkan Hubungi GuruPrivatMaros Telp/WA : 085242353833 PIN BB : 55178187,2022-09-15 15:16:08+00:00,http://twittbot.net/
7,fluttershyis,kayak apa ya idk how to solve this problem tp tiap uh sasing nilai aku selalu bagus tp kalau bahasa inggris tuh not good enough ??!!!!?!?? ini permasalahan nya ada di aku atau di guru nya ya,2022-09-15 14:44:21+00:00,http://twitter.com/download/android
8,Utamadityayoga,"@mumpungadjie @ulyanisaa_ @stillshanee @phobiaangka13 @MonashcI39 @Ghozali292 @Haisa_HS di suruh buka - buka buku catatan sekolah setau ane di sekolah dulu gak ada tuh di kamus KBBI kata ""Kapslock""
di catatan yang ada kata ""Capslock"" itu terdapat di dalam Bahasa Inggris jika di terjemahkan ke dalam Bahasa Indonesia artinya ""Huruf Kapital"" apa Guru ane yang salah https://t.co/MF82mriseR",2022-09-15 13:48:32+00:00,http://twitter.com/download/android
9,din8o,"@dinoshoelace @thejeon_ halo magenta, aku ini bakal jadi guru b. inggris loh 3 tahunan lagi, les ke aku aja ya gratis kok 🥰",2022-09-15 12:56:15+00:00,http://twitter.com/download/android
10,maryana20894172,"@UnivTerbuka @gusaagus Min, saya berencana daftar Pascasarjana magister pendidikan bahasa Inggris.

saya guru bimbel, dan setelah saya coba isi formulir pendaftaran, ada opsi utk mengisi SK institusi sementara bimbel saya belum memiliki sk.
itu bagaimana ya solusi nya min 🙏🏻",2022-09-15 12:53:51+00:00,http://twitter.com/download/android
